10000 16666
9458 5931 5
6831 8493 1
3761 4795 1
4192 3021 7
6163 3195 9
4578 9741 7
180 7891 7
269 5330 3
6489 2709 5
6020 5760 5
8796 1961 6
3834 5301 9
1539 9063 3
741 7697 10
8028 401 3
4655 7083 3
6719 9433 1
31 121 5
9775 1986 9
6873 7473 10
5387 7656 3
4127 7101 2
5182 4001 5
4602 8861 7
6215 4950 1
4903 8654 3
5145 341 8
1266 8939 1
4431 6353 5
4434 329 6
8915 9329 2
6361 3864 4
83 4588 2
2439 3333 10
3236 3841 10
7573 7553 7
5646 2215 5
9175 9685 7
741 6561 4
4547 6561 9
7772 1506 9
1185 6711 6
6715 2682 1
4512 451 1
2817 433 1
7399 2309 9
6699 7729 6
6411 1333 5
6615 5991 8
1841 7541 3
5407 1143 2
8131 9585 1
1023 7909 9
6104 8791 7
2149 1430 7
6828 2251 7
3365 9060 5
8864 7881 9
1856 9509 5
6111 2186 1
7565 9269 1
3403 4913 10
8018 4009 1
3356 204 9
3098 4182 7
27 3667 9
340 3965 1
1894 7969 3
93 3063 1
6287 2821 9
4560 9596 1
1935 6113 3
1819 7081 9
9446 7293 1
539 8985 6
326 1505 9
3837 8488 1
21 2243 6
6499 8353 1
8782 2248 7
3308 5889 7
7157 7976 8
637 4538 5
4523 8546 5
6036 9451 7
3757 3229 3
4705 8464 3
8869 7900 3
1101 2392 6
6178 358 4
2181 81 4
9303 5499 1
1028 156 5
5008 1963 8
2452 501 3
2829 691 1
6556 6235 3
8998 4622 6
485 6750 1
1547 7393 10
9341 2997 3
1684 3073 5
9961 7119 4
9266 938 5
5309 442 3
954 8550 3
704 276 10
7373 7606 7
2125 7081 6
3917 8656 7
4650 7615 1
6812 4456 5
6661 3687 9
3404 2379 9
2141 2876 9
1324 8185 10
2830 4126 1
8199 2766 1
2767 8001 1
4633 4993 3
8976 9839 6
9910 3320 4
7760 4134 7
8476 1657 3
3589 4707 6
3917 4399 1
3602 3646 1
6061 8769 4
3081 9407 5
6322 1633 5
1921 6304 6
7093 5051 7
6002 2853 6
9100 9400 7
2573 3340 1
3900 8421 1
9938 4048 1
2386 7501 6
6859 1 5
200 7373 6
1821 7285 5
3657 1983 9
1753 5386 2
7230 3089 9
3055 2001 1
3403 9941 1
3500 9592 4
3646 9484 3
2002 6571 5
2999 7337 7
9145 2777 5
5634 5496 1
15 6689 1
6268 1216 2
1272 4081 1
634 9751 5
4909 166 1
9682 6109 5
4671 1026 1
2778 1773 6
9479 3023 5
1804 9081 7
7913 9107 7
6775 2861 1
1513 5345 1
7296 834 7
2928 6682 6
2732 5317 4
4035 1183 6
2286 518 7
4398 8769 7
5109 1520 1
940 9409 1
1092 9479 7
2441 7880 1
73 1029 5
5621 3581 1
7284 7561 6
3982 665 8
8944 9853 5
4764 4577 10
1206 4231 9
4501 6202 9
4595 7931 6
4336 3823 4
5936 6475 10
105 4961 1
1127 3876 9
3178 5521 3
255 8661 5
3665 1045 1
852 3016 8
7540 2276 3
9944 6145 3
682 7397 5
2268 471 1
8940 4573 1
657 2681 3
5504 4021 9
5940 6936 1
6355 7821 3
9423 519 6
1425 4631 7
3 7305 6
1594 8995 6
5456 8163 6
1399 5794 1
701 1917 7
8392 8321 9
515 6444 8
573 9061 8
8313 5345 5
1250 801 6
6522 582 3
200 9091 5
7361 6111 3
4389 9007 3
7789 5187 5
7773 9871 5
6819 9489 1
159 945 1
1902 3117 1
9399 2029 2
5144 3281 3
7472 7054 5
8235 9615 9
9388 4042 9
181 17 5
6069 7524 7
741 4331 1
2543 2427 3
8615 5107 2
2651 8801 6
6125 9242 3
2306 6385 1
6760 1543 1
9094 7431 1
1839 4721 1
474 8001 5
7211 1929 7
6290 995 9
4030 1146 5
6884 3981 3
3992 7473 6
2032 9356 10
4667 2941 1
7935 6463 10
4287 2049 4
8270 3005 2
4283 9381 6
8704 2531 3
306 8190 6
8632 6529 2
8208 655 2
8896 6151 10
7742 3255 9
4440 466 1
7923 6037 1
1435 4987 10
9216 7274 5
4160 4997 7
5776 3207 9
8950 4385 7
3272 613 9
467 231 1
2171 2617 4
748 6449 2
341 6565 6
3395 5393 6
8081 9056 1
814 1431 3
2360 5521 7
5982 2681 5
7367 6231 7
2441 1001 1
6138 3841 1
847 5049 3
1529 6116 3
3468 3827 6
463 1181 5
3479 9813 1
7653 1205 7
1696 7051 6
6451 3519 7
2876 3515 3
6588 9465 9
4302 6702 8
2533 3259 2
3282 9539 5
1304 5421 8
5936 1993 1
8494 5192 3
5351 7087 9
434 4219 7
720 1832 9
7466 8161 2
1466 6356 9
1547 8122 5
4367 2290 6
494 1851 1
7530 7401 4
395 321 1
6651 1306 3
3199 4936 6
2941 321 8
9997 9913 10
823 2645 2
3772 5381 10
897 1181 1
135 2376 1
4086 5958 4
397 5045 7
2295 3025 7
8351 3047 10
52 1539 3
7124 2841 5
6503 1041 1
1805 2191 6
3408 9667 3
625 7524 1
37 211 6
1511 975 4
4726 4321 3
4440 1873 7
7019 6705 7
3125 1714 7
9925 522 9
2891 2341 7
3044 3233 3
3940 2847 5
7069 3457 3
253 533 2
7305 946 7
7231 5141 9
493 3801 6
7815 8613 6
3801 7997 7
1931 6949 9
6072 4783 7
5056 3018 7
7352 6049 2
5148 4381 7
1967 7627 3
4335 3658 1
6237 2455 9
4945 8928 4
9659 9312 1
419 8063 6
6472 6241 3
807 5755 9
31 9194 1
8235 261 1
4724 7111 1
8286 8261 9
1915 8741 5
8640 8602 7
9826 6896 1
7550 6081 3
8937 6446 2
8676 1265 8
9227 4917 1
7532 6774 9
1039 6141 1
2391 9773 1
663 8065 7
4672 1121 1
2026 1867 1
6532 7665 9
7256 8388 1
7471 8064 8
9493 8327 9
5 7929 6
7124 8583 7
1769 1129 1
5750 3981 1
106 6101 7
142 5573 3
2536 4609 4
2390 2501 9
9487 4015 9
5883 8891 9
1616 7829 7
5891 4515 8
588 9769 9
990 5177 1
4337 3545 3
2197 6146 9
6415 1143 1
91 6211 5
1753 6203 3
2962 8281 5
8068 8241 1
9667 7949 9
5145 8323 7
7534 5465 10
5488 9847 5
9477 1625 7
9512 9001 6
1069 8201 5
3901 9060 10
4894 5938 6
2658 9602 6
2490 5585 8
8199 24 1
1718 9051 5
2844 7021 1
2168 1579 5
9387 8361 1
3092 6289 5
4094 9025 6
4763 2034 5
4814 6864 5
1181 3968 4
878 1986 10
4301 4106 9
9191 2855 6
6566 2451 1
8519 1579 3
9186 305 9
9040 6554 4
301 5345 7
3507 2421 1
1157 5991 7
1279 2865 7
1782 6961 10
7988 6862 2
1134 9263 9
3615 4694 5
5005 341 7
1541 1043 8
3735 8251 3
8862 6206 1
2506 9382 7
1692 2790 3
4699 6113 3
2948 9945 4
9826 3572 4
2535 6740 4
757 9441 5
4754 6164 6
5777 7999 9
1700 1417 5
2084 7158 1
7043 5383 9
2601 2833 5
2397 831 1
4515 1807 5
5601 641 7
4242 2041 10
366 2873 3
7631 1216 2
5715 8061 3
3553 5179 3
9110 547 4
7721 8321 4
995 2299 1
597 6063 1
881 2205 7
4292 6279 5
1923 8753 6
7154 8545 4
5129 4606 9
2943 1901 9
2984 9113 2
7299 7381 1
1774 9681 5
2612 2209 6
6654 4981 3
2446 3886 6
1021 6241 8
6058 5953 4
3773 5025 7
6754 7905 1
6905 1121 7
8550 4241 9
593 8551 1
634 4245 10
6320 8421 2
2160 1606 10
9620 5380 1
5596 1041 1
926 4154 1
5085 5616 2
9528 1673 5
3836 924 5
3853 5649 2
8658 7177 10
6246 7481 7
3844 4213 6
5986 3546 7
9978 9085 1
212 657 10
2801 3955 5
6572 8433 1
2661 3109 10
6559 9701 7
7346 25 7
7459 6457 1
2607 4809 9
6258 3681 5
1698 1955 1
941 6315 1
2467 5721 5
9086 8059 1
1574 7147 1
766 629 4
338 4257 7
7103 6756 7
7411 9500 7
3226 7113 6
1302 2204 10
1002 2431 5
9204 4289 8
31 5561 3
6299 6377 1
447 3729 7
8613 3575 7
2549 3009 2
1684 8201 4
635 7555 10
4915 6204 1
2726 2243 1
5157 5529 3
4425 9422 7
3615 2449 9
2583 451 6
5000 6589 3
8700 4731 1
2367 2022 4
6105 8094 2
9478 301 7
8783 4889 9
1662 8011 1
1401 4055 5
8888 5153 4
2851 6801 1
9275 1137 1
4757 8851 1
7136 3131 3
6303 2501 6
7222 6865 7
396 3334 1
5835 1733 6
524 7729 6
4976 3823 3
9521 3401 7
4134 241 1
5878 1705 1
6720 8231 8
4975 7214 9
4565 125 5
2561 3001 1
4658 4965 1
5211 5906 5
1452 573 1
3474 6321 7
2451 1066 1
3489 6616 3
2990 1917 2
4220 4737 7
963 4445 7
833 7037 7
7604 4201 7
4814 281 8
9852 1886 7
4503 8881 4
9770 753 1
1753 3742 3
1754 4901 5
9487 50 3
5232 571 5
1887 3261 7
2339 9851 7
7620 5501 1
134 5985 7
178 9889 7
1285 8883 1
3306 7682 1
3162 7546 4
232 2763 4
6474 9427 7
4150 8043 1
3262 1459 1
6304 9877 1
8575 2545 5
6625 1689 1
221 5145 1
1018 6561 1
3106 5673 4
5574 7153 9
5375 9837 7
2283 4897 3
1793 9 4
3487 1001 5
291 9296 9
5654 7866 5
5108 5660 1
1760 1809 4
942 7341 1
6887 6479 8
3051 7177 4
9406 6377 2
4701 121 8
1717 526 1
4894 7995 7
810 8843 1
5956 9178 9
3630 3461 9
7438 9155 3
364 709 9
3177 8533 7
9225 9229 10
8668 7416 10
1319 5560 4
5638 8221 5
9346 2303 5
2829 3772 1
1051 2279 2
5827 2643 6
3151 913 1
2029 501 6
9755 8396 8
6672 6977 6
8077 4629 9
3800 4896 5
3562 1841 4
4212 1209 1
1978 6821 3
4513 4991 1
5015 4673 9
3401 5065 8
5275 7001 1
5839 7196 2
5458 724 5
1124 7326 5
3909 1417 6
3748 7180 1
8630 387 5
5824 7263 6
5302 9473 1
219 127 1
2397 7585 1
937 9877 9
7461 649 5
9643 2521 7
2706 3995 1
6880 5946 9
1857 6009 6
6802 5439 3
1898 849 5
3269 9201 1
6170 901 4
635 5282 8
907 4065 9
5850 2161 5
5036 3089 1
3221 2426 1
9898 1951 1
714 4401 8
9324 7724 3
6158 6085 1
3595 1261 9
1398 4135 3
7031 8790 5
1196 7314 7
2907 9596 4
2207 455 5
2604 6021 3
169 9669 7
2079 9266 3
1535 3423 5
4866 113 1
3256 5316 5
7349 1935 1
6168 9829 4
1452 2801 5
9141 8641 1
9078 2107 7
8435 7340 7
6970 9305 7
7694 9201 6
8630 1565 1
1685 7201 9
5822 9105 8
9965 667 3
4463 8394 1
5444 4241 9
9873 4671 1
3911 6126 9
8039 2397 1
9612 1281 7
7596 8293 5
3330 881 7
2749 1185 1
9093 7101 10
5386 8039 9
8885 2553 7
1832 5617 1
2722 9479 9
7130 5009 5
6241 1911 10
1562 1476 1
1638 545 3
5972 1873 7
3482 3709 5
6913 161 9
250 5255 7
4510 2781 4
818 9601 1
3700 6481 8
5467 8001 3
8352 1689 9
2140 2011 7
111 9963 8
5790 7441 3
703 7852 7
8859 4661 7
3876 9697 9
4023 3809 3
138 5660 1
364 5681 5
956 3737 3
523 5806 7
2385 2657 9
2548 965 1
3823 9296 9
9388 3167 4
7576 4021 5
6549 1084 4
3313 873 5
8156 2513 3
7333 8498 7
4728 5024 3
8929 2065 5
4492 3873 8
9845 9171 1
3332 5271 3
3111 841 2
6722 7243 1
5452 7291 6
8494 916 1
6501 2658 2
9893 8114 5
4745 4797 5
6413 1741 6
3941 7687 6
7249 1767 5
8956 1151 3
1611 9693 3
3998 5807 3
585 7939 3
8274 4041 5
2877 6113 6
6163 517 1
125 641 3
3177 2939 1
1814 429 1
7410 9053 5
1070 2873 1
1521 4751 1
3024 2425 8
9696 7799 3
5704 7168 1
8889 9105 9
8729 3991 8
6562 4602 7
5833 7493 2
5827 4837 1
3700 3365 4
8361 8776 7
9215 1505 9
3236 9618 7
6549 6001 7
2906 2461 4
6410 3621 1
172 2927 3
7871 3241 5
3949 9621 1
4009 961 7
2334 3272 6
4484 5185 1
5526 3471 1
2251 8585 1
6510 6311 9
9750 9294 4
931 7255 9
1341 100 9
4239 8985 3
5235 8837 6
7004 4105 6
327 8002 1
8851 3251 9
3481 8453 1
5200 4961 5
1121 741 6
1634 6501 1
5369 9826 7
112 646 6
7707 9365 10
8113 2375 9
2780 8145 3
1365 2485 3
4825 1117 3
2922 8356 5
1481 7361 4
8755 7721 1
8071 8759 7
5018 4286 6
2843 1626 1
1183 2231 9
188 7699 9
1694 9597 9
787 4956 6
3400 1111 7
7952 5601 10
9629 8722 6
7216 1169 1
5106 6857 1
2771 4051 3
3664 2381 3
5455 5957 1
6422 6061 3
1028 6501 3
9712 2216 3
1434 4345 7
1483 3041 1
3961 781 7
6370 8527 1
5581 718 6
6680 3657 10
737 391 1
2247 3577 3
2528 1241 5
6119 8524 3
3994 8868 5
7083 9551 7
1610 5097 1
3116 671 7
326 4040 9
5715 2801 6
4926 1201 1
8037 9691 10
4026 9121 5
8896 6512 3
8232 7733 7
8498 61 1
4192 9190 2
4304 607 3
6685 9713 8
1036 4473 1
9168 4361 9
4716 1378 1
2644 8001 9
1075 1890 5
1678 9897 9
6898 3784 10
9940 1681 1
7439 3836 3
7081 5900 4
5291 6047 6
8661 7229 1
2148 8125 4
3110 2417 3
7766 5094 9
421 7151 2
1244 1103 5
5378 8467 9
5713 5681 1
8314 7584 7
3200 3691 6
7278 6631 7
8809 9469 7
4992 9242 1
2863 8051 7
4195 4721 3
9686 4351 1
3564 69 6
6337 7070 7
1211 7480 1
1207 331 1
8154 4551 1
3652 8126 9
2829 6651 1
4646 3245 7
4899 5281 3
4769 1861 8
8654 1298 1
4285 3485 6
5234 5013 1
2866 921 3
2235 8641 1
8219 8791 5
3383 4249 8
2080 3041 1
5413 2097 8
1418 3001 1
4830 411 1
1230 2551 1
7915 4285 9
6252 3068 8
8614 7826 1
3104 5916 3
6584 5960 1
9100 2702 1
968 9752 1
9443 253 7
6489 6073 5
2900 2723 8
1818 5761 1
7064 676 1
7863 3773 5
4275 4813 10
3319 1986 1
6973 301 9
2340 1537 1
3534 1384 9
7327 8993 6
331 6476 2
2963 7057 1
3338 1907 8
8828 5615 7
4892 7233 1
6387 3701 3
375 6177 3
2385 661 6
576 8363 1
3894 3956 5
6427 1276 5
1531 7713 1
351 249 8
8387 3556 9
4103 370 7
6113 3399 9
6274 6818 9
1423 9161 7
4632 9786 4
45 7993 6
4580 5133 9
2993 7291 6
4870 305 3
3599 1401 9
6172 2449 4
8251 1025 7
2371 4705 7
4889 7373 8
3687 1181 8
9490 2802 3
9021 4449 7
978 1729 1
9898 8161 9
991 8641 1
5019 946 1
4846 7267 1
8892 2232 1
951 4417 1
685 1141 9
5674 7225 1
6984 5536 7
7679 2945 5
6494 4813 7
2294 5383 3
8965 5221 1
2062 6757 9
1052 5959 1
6899 2908 10
8244 9321 5
3730 3151 5
514 4633 8
8606 2925 5
489 4449 3
8262 1057 3
7200 5019 1
4698 4580 6
700 1479 7
7883 6353 9
2801 813 6
7510 7601 3
9078 9769 7
8589 4681 7
2559 4239 5
3180 5110 6
9950 5509 1
3472 6472 1
8132 3958 1
5575 8527 5
2389 8626 3
4021 7526 1
4808 3051 5
1011 7701 3
3180 3621 9
399 6025 3
5272 9041 7
490 8471 1
6316 2701 2
2016 3321 1
3730 5591 1
8980 5372 3
1968 5592 1
2994 4331 1
4951 3617 7
4422 4817 9
2380 9611 9
7677 9161 6
7279 4176 1
5840 9332 9
706 3084 1
142 7581 5
6198 6237 8
1645 8009 6
3457 272 4
3568 3673 1
3280 1339 8
1707 8298 7
9538 5151 2
4774 6046 7
882 3521 9
9946 1266 3
9901 8163 1
2937 9081 1
3513 2121 9
8307 1527 7
5265 9666 2
9309 2730 3
1850 2276 6
7506 7008 3
5578 2782 1
657 7921 2
4534 8173 4
925 9173 1
3915 7741 1
4993 4901 5
7594 2385 5
5120 4339 9
2322 526 6
1662 7673 7
5124 7761 5
6565 2383 3
9311 5253 9
4517 1836 1
1505 7276 9
3349 8561 5
7575 1109 7
8550 6082 10
8073 3841 9
6855 2201 4
894 17 5
9233 2021 1
9628 7425 4
6326 9989 3
8305 8057 9
1652 2681 4
8217 3593 10
4091 7376 7
66 5791 1
791 8068 1
5091 7513 3
2738 2025 6
4745 845 1
7857 2315 3
2141 3161 6
8771 4385 1
5154 983 5
9746 5440 8
8870 6321 3
3906 7712 1
6885 4377 1
8164 7697 9
8947 7242 5
3679 7471 10
2299 3361 5
2261 6999 1
3039 125 1
7143 9435 4
9802 4186 9
8578 4853 7
8713 4513 1
6848 9302 3
9247 2705 7
9604 7393 10
1312 8591 2
7870 6242 3
3318 8186 1
3840 3241 7
9910 7258 3
2453 3145 1
7251 2657 10
7871 7280 1
8523 7897 6
470 5604 2
8506 7305 5
1586 349 7
8458 3757 7
7645 3561 6
6176 8858 7
578 5826 6
101 740 5
3854 6441 5
3478 2760 9
1712 1969 10
5108 2171 9
4290 6731 9
7495 8249 10
2703 4693 1
3570 9273 3
7238 4969 7
5801 101 1
2335 7249 4
3166 2563 6
1080 1665 2
6415 1501 3
4432 2361 5
4330 815 7
5735 5773 8
9665 4521 1
5028 2057 5
6046 7441 6
93 8125 1
1257 4031 9
4989 4301 1
7583 6822 1
1996 2017 4
8150 2439 1
1633 4742 4
4048 8261 9
3544 1019 1
2654 1918 1
9757 6341 1
4552 509 7
10 8499 1
288 7759 6
2304 3671 3
5360 7697 1
6229 2349 5
7682 8897 9
3140 4626 10
3689 2193 4
3775 801 9
1479 5377 3
6167 2135 7
5531 1717 6
6138 4580 9
2899 251 5
5676 4181 7
9849 4326 10
6316 6422 8
7941 1601 1
6780 6526 1
2128 8445 1
6914 1937 7
1248 1589 1
1225 8021 5
1688 1100 9
4785 1430 3
2012 9921 1
7484 9699 2
7233 6841 1
3711 3106 1
3270 4854 9
530 7407 6
7690 2366 1
2537 5705 3
3063 9681 1
3527 7633 9
5665 631 5
1558 5437 7
1937 7185 3
8473 6587 1
6957 493 5
6345 7003 1
4997 561 3
6445 6181 1
2810 4601 8
7681 2556 1
617 9209 3
9205 9831 6
400 9025 1
4501 2856 9
1315 525 1
1816 5133 9
1955 129 3
5881 6977 3
2435 8295 2
5471 5756 9
1736 3656 1
443 3333 8
2975 1251 6
8950 5262 6
9545 1789 3
675 5007 8
7589 2401 4
119 1435 1
8364 3677 2
8115 341 1
743 1881 7
6844 4781 7
6044 9596 1
1365 952 3
2653 3473 1
7568 3390 7
8363 8551 9
8608 711 5
7860 9269 9
6179 7529 5
4585 9357 3
