1000 1666
149 640 5
476 296 7
608 117 9
608 925 6
979 115 6
264 916 5
436 501 7
962 901 1
679 7 5
909 739 5
147 701 7
221 449 6
399 59 7
821 829 5
290 627 1
769 881 3
283 193 5
282 469 5
736 317 4
214 161 6
665 199 1
994 961 2
120 471 1
230 663 8
678 49 4
538 297 5
493 953 1
590 65 1
943 859 3
735 961 1
704 273 6
512 379 3
624 521 1
295 921 7
319 645 6
196 437 7
847 97 5
87 550 1
921 401 1
304 513 5
268 936 1
840 778 1
194 913 1
723 113 5
484 411 1
51 698 7
23 385 1
529 27 10
918 187 3
618 244 7
348 599 1
336 207 7
876 240 6
249 662 6
815 401 1
309 926 2
925 467 2
727 89 9
716 236 9
251 775 5
497 965 7
882 334 6
976 193 7
51 731 5
645 716 3
616 387 5
938 761 10
457 76 3
391 471 1
281 709 6
361 877 1
739 505 7
3 903 8
461 735 6
537 841 3
843 785 1
640 449 1
152 149 6
430 531 5
106 799 5
510 947 1
37 242 7
116 996 3
568 661 1
864 640 1
492 607 1
845 584 4
5 241 1
597 46 1
823 616 5
396 896 9
176 427 5
40 654 5
536 441 7
220 841 6
730 328 1
107 393 10
972 347 8
240 557 1
52 440 1
984 857 5
201 121 9
856 361 9
398 641 8
162 939 5
632 813 1
895 961 7
657 416 10
335 177 1
70 967 1
789 811 6
746 551 5
429 631 5
855 454 5
862 246 1
951 623 5
495 377 1
850 987 3
528 773 1
153 645 4
690 177 1
995 151 5
201 413 9
932 973 1
296 394 5
562 511 3
18 384 5
223 765 8
607 3 9
789 659 4
486 354 1
235 111 9
825 549 8
200 301 6
696 116 6
148 153 7
415 691 1
311 648 1
754 457 9
502 407 7
654 567 5
604 169 5
568 899 1
500 416 5
106 597 1
227 737 6
678 247 3
641 81 3
921 353 1
589 953 1
90 32 8
825 669 1
90 518 1
453 277 7
118 615 1
629 777 6
463 563 1
711 553 2
46 937 7
508 85 1
180 81 3
423 241 3
344 461 8
672 657 3
221 737 5
545 703 5
795 205 1
986 977 1
917 825 9
771 892 1
980 637 8
875 143 6
36 389 9
69 601 3
230 470 4
427 111 3
720 787 6
822 637 1
833 277 1
52 513 9
3 721 5
692 44 3
920 247 1
792 912 2
419 729 6
542 41 5
386 521 1
633 706 4
439 117 1
764 452 1
562 977 9
741 95 1
455 201 7
233 681 3
278 51 8
91 571 9
512 181 1
726 721 3
258 57 1
918 262 9
826 649 4
344 589 4
205 334 6
910 444 9
283 14 3
319 733 8
364 829 5
67 113 1
461 511 8
350 443 8
112 113 5
398 340 10
533 591 10
569 421 6
824 56 7
271 621 5
897 984 4
869 977 9
607 341 4
640 581 9
488 567 1
531 545 10
347 270 5
113 3 5
798 445 6
253 636 1
650 861 1
293 203 6
704 48 7
835 751 6
388 689 1
768 795 9
656 265 9
853 135 6
597 291 3
332 909 8
556 457 2
219 57 4
698 435 1
480 316 1
111 541 7
374 620 3
74 637 9
189 951 1
651 412 2
981 307 9
616 671 1
771 210 1
546 931 1
161 851 7
569 312 9
552 830 1
855 966 6
264 806 6
258 976 5
333 761 2
851 17 1
96 157 3
360 501 7
271 175 2
485 364 7
917 291 7
607 325 5
664 931 3
672 121 1
324 766 9
881 476 1
170 985 1
971 697 10
676 321 7
398 721 1
788 121 9
835 89 10
444 504 6
959 506 6
12 907 2
258 501 4
288 630 3
52 876 6
579 857 9
681 293 6
528 970 6
171 81 1
955 448 1
825 771 7
974 721 1
235 676 7
4 504 7
932 373 1
883 625 1
451 405 1
474 895 1
924 106 5
456 493 9
282 777 1
523 671 10
352 905 1
746 981 5
755 985 1
495 293 7
659 797 7
120 781 7
748 321 7
408 288 9
23 536 3
239 140 9
498 249 3
81 460 1
911 361 3
247 305 1
690 699 5
276 357 9
130 841 1
686 931 3
242 252 4
552 681 9
878 126 9
243 725 1
568 201 5
466 986 1
960 101 9
107 101 9
715 199 1
823 933 7
932 731 1
760 485 1
550 888 7
660 433 9
325 184 7
380 705 1
558 857 1
257 575 1
655 360 7
662 401 4
868 577 8
117 271 1
397 262 1
974 895 1
596 663 1
585 904 9
766 339 10
57 781 6
884 621 9
980 557 1
720 545 4
51 554 1
548 139 7
380 481 1
946 786 9
155 801 1
173 427 6
118 111 5
369 571 8
155 896 5
95 255 7
821 501 1
815 214 6
840 651 6
247 253 1
346 627 10
546 798 5
264 855 8
980 841 5
962 397 9
347 306 9
975 746 6
664 545 7
806 463 9
3 188 3
545 211 5
768 934 6
387 312 5
18 375 3
452 711 1
856 911 9
754 731 3
564 243 1
674 895 3
527 109 1
313 907 7
273 64 3
94 806 9
148 776 10
207 591 1
896 561 1
414 521 3
292 881 1
337 412 1
863 602 7
727 46 9
685 933 6
500 413 1
34 713 7
293 231 2
845 660 1
848 425 2
932 149 1
743 918 1
984 988 8
476 967 1
391 206 9
265 251 1
252 293 5
580 729 2
323 963 9
488 377 5
931 145 10
293 246 8
999 761 1
627 816 9
568 541 5
251 826 5
387 72 1
144 610 10
772 870 10
767 441 5
689 411 7
350 409 3
575 373 6
102 25 1
894 357 6
660 329 7
661 785 1
688 251 4
47 229 7
552 671 8
574 500 1
282 348 1
445 961 3
904 641 1
608 946 9
126 494 8
441 326 9
380 639 7
506 18 1
166 473 1
807 117 3
313 43 1
902 836 5
190 81 7
606 169 8
293 121 3
867 925 1
200 176 3
237 61 7
559 969 7
582 996 3
109 346 6
25 427 4
386 589 5
359 521 9
808 660 2
600 785 5
275 297 4
688 340 10
421 259 8
679 25 6
681 649 5
412 831 3
582 463 9
495 335 9
349 678 5
442 181 1
570 65 9
579 779 1
512 901 9
150 947 4
487 121 1
317 973 6
726 936 6
863 737 7
807 56 1
806 179 4
137 895 6
233 451 9
77 758 1
281 461 3
866 309 5
678 896 5
394 361 10
255 193 1
85 821 3
539 241 5
66 961 9
828 325 8
185 876 3
906 917 4
345 785 5
188 748 1
512 436 2
621 610 6
635 561 7
584 306 1
927 632 5
242 291 3
325 314 5
29 322 7
505 193 3
485 526 1
666 321 9
706 113 1
710 653 2
2 9 1
609 895 9
728 873 2
662 253 6
718 307 10
542 252 1
121 113 5
394 300 2
560 945 9
662 505 7
694 855 7
188 976 3
360 186 9
866 324 1
381 421 1
236 887 1
124 565 9
909 241 9
595 8 9
649 937 7
762 567 3
335 955 5
54 181 1
275 371 5
91 905 6
430 706 5
585 199 6
987 905 1
673 81 6
542 934 2
301 973 9
154 95 1
430 477 3
983 9 7
606 881 9
950 427 3
781 460 9
875 711 3
308 425 6
389 285 5
749 539 6
293 805 9
79 900 1
655 761 3
56 917 3
416 516 2
15 967 8
390 553 7
114 697 3
532 588 3
34 721 1
517 503 3
952 841 1
785 632 1
634 806 9
870 376 5
876 521 6
827 571 1
905 281 5
678 565 10
102 77 9
691 249 1
490 849 7
581 267 7
686 105 1
124 419 1
440 677 6
292 53 1
524 357 1
941 376 6
774 552 6
402 337 9
274 671 1
802 109 1
138 941 1
318 105 8
307 921 5
219 993 3
232 315 2
142 5 1
563 425 3
105 873 5
91 551 5
742 481 4
294 231 5
409 516 5
976 903 3
204 926 5
102 755 2
485 901 3
537 351 1
907 200 7
883 529 7
733 446 10
241 329 5
50 769 8
664 184 6
424 657 5
120 6 1
348 373 1
187 614 9
364 580 5
746 101 9
397 323 1
609 239 9
176 401 1
208 677 6
579 164 1
103 841 6
566 314 8
140 801 1
841 911 1
378 976 1
150 986 6
296 776 8
223 989 5
466 215 1
966 119 5
782 666 6
59 288 3
747 581 1
507 944 1
109 699 1
733 306 5
750 877 1
916 769 8
870 205 7
70 343 3
245 517 2
761 651 1
137 193 5
969 689 6
493 151 1
869 438 3
108 659 4
676 977 1
209 41 4
921 101 6
389 607 9
325 960 1
844 487 7
241 295 1
929 751 9
822 573 1
15 298 3
907 445 9
460 461 5
107 976 6
758 36 7
800 701 5
960 645 6
884 207 3
109 279 1
860 254 5
817 45 3
674 369 2
350 339 5
860 601 2
431 313 9
324 158 9
210 727 6
112 445 1
182 894 1
279 701 4
474 931 9
745 567 3
119 341 9
202 65 3
974 281 5
74 271 1
557 139 9
904 473 9
923 781 7
800 185 1
524 836 5
546 881 7
65 865 1
724 346 6
4 473 6
638 465 6
111 179 7
591 933 3
474 212 5
873 909 5
91 969 5
746 963 1
184 131 6
212 961 9
255 521 9
237 683 9
189 815 1
28 922 5
724 735 6
634 173 10
800 717 1
677 146 2
60 635 3
483 60 3
761 881 9
438 191 1
173 181 9
383 537 8
683 123 1
887 393 1
351 587 3
558 971 2
974 393 5
892 490 9
629 191 3
359 491 3
126 415 1
538 451 2
811 107 1
657 149 3
735 586 6
596 377 4
312 937 9
891 961 9
686 188 1
466 539 5
200 783 1
923 321 7
183 654 5
181 839 5
537 792 7
668 457 6
563 638 7
396 257 5
700 606 6
379 71 7
274 385 2
675 339 3
571 971 6
119 961 8
365 179 1
927 393 9
239 507 9
548 726 6
891 403 3
885 701 1
273 351 1
418 385 4
4 60 2
914 202 1
13 901 7
952 423 1
321 461 9
154 153 1
758 53 6
83 547 1
561 451 10
261 592 1
231 499 3
431 999 1
803 785 7
905 777 8
104 115 8
19 153 3
829 181 1
457 904 3
57 121 8
875 243 1
34 53 1
511 331 5
260 180 9
455 921 7
777 692 3
869 397 1
813 953 1
770 53 6
984 551 1
484 901 9
857 873 3
799 425 9
142 585 2
370 734 9
429 199 9
420 426 8
834 37 8
658 396 9
549 437 6
111 101 8
656 177 3
122 705 1
542 301 9
196 751 6
752 197 1
947 791 1
413 639 1
593 896 8
626 707 10
133 385 9
41 188 1
638 185 9
87 508 1
942 142 1
888 670 7
240 870 6
155 437 1
911 873 1
322 732 4
64 439 8
977 401 1
145 767 1
103 493 9
636 273 1
363 471 9
91 821 8
651 115 1
964 341 2
284 868 9
840 452 1
573 357 9
72 751 1
557 56 1
153 951 3
40 852 1
104 253 10
494 309 8
760 957 5
98 442 3
546 597 6
913 229 3
561 381 5
383 49 5
694 19 7
810 878 2
758 840 1
122 697 1
133 111 6
663 605 8
556 554 6
99 540 1
549 316 9
688 471 9
700 437 6
40 729 5
543 209 5
619 362 9
22 666 1
128 417 5
107 161 4
637 199 1
103 669 7
310 800 5
270 93 9
136 600 7
168 839 1
426 194 1
121 31 9
360 776 1
700 181 3
310 276 7
489 482 5
134 251 3
818 161 10
121 531 3
712 991 1
394 999 9
895 366 7
220 931 1
799 141 6
259 291 4
62 189 1
63 858 3
157 351 1
658 421 1
433 21 2
658 785 6
154 355 1
751 673 7
476 390 5
680 954 1
497 217 5
319 681 5
518 838 6
112 551 6
108 295 2
72 817 1
615 993 4
723 711 9
427 564 3
482 689 5
393 559 1
100 849 6
944 381 5
84 633 9
342 433 10
549 559 10
353 31 5
456 807 1
580 870 6
21 511 3
415 69 6
487 623 3
583 652 3
84 248 3
342 723 8
274 520 1
157 825 2
621 779 1
384 677 3
994 206 10
505 193 1
976 691 5
553 61 7
39 895 9
558 998 4
263 261 7
516 218 9
528 941 3
867 525 2
770 833 3
56 927 1
178 661 5
504 41 3
738 171 6
107 334 1
88 847 6
564 273 9
143 381 2
72 705 3
186 373 1
621 388 7
641 77 6
935 401 5
406 104 1
642 319 8
265 297 1
689 585 9
798 959 1
722 334 5
805 912 5
637 26 5
498 181 5
553 313 9
146 185 1
142 765 1
595 29 2
686 473 1
701 408 2
489 949 2
343 556 7
59 489 5
16 565 3
165 729 1
771 159 9
136 461 6
482 182 1
585 933 9
921 241 10
621 916 3
491 689 6
175 996 7
681 949 5
532 433 5
310 397 2
876 204 9
36 112 3
97 134 7
491 801 2
690 127 5
752 626 5
138 217 1
408 922 7
894 370 6
834 490 7
714 643 8
425 221 1
479 721 4
28 753 1
930 927 4
218 426 5
652 604 9
507 586 10
102 947 5
388 531 3
481 821 1
54 45 3
478 699 9
442 869 3
189 448 5
855 628 7
74 221 7
684 959 1
16 11 9
828 832 9
646 586 8
462 453 1
45 62 3
144 408 8
207 745 7
615 669 5
221 460 4
332 723 9
598 73 3
117 422 7
177 74 7
860 653 1
996 905 6
856 65 4
456 977 5
672 258 1
830 825 1
466 719 5
277 451 7
180 65 7
255 109 6
483 566 1
210 289 9
681 945 7
934 473 1
172 821 3
703 529 9
860 527 7
7 349 1
471 421 8
449 61 9
510 866 6
272 519 3
834 37 7
152 43 1
423 295 1
238 526 9
333 119 5
161 818 3
54 225 7
536 751 3
117 753 6
706 799 6
954 471 3
346 517 2
685 377 10
305 311 1
56 939 1
840 425 7
385 991 1
575 101 1
154 174 1
701 106 5
302 833 1
952 889 3
67 357 1
644 20 9
641 649 1
945 925 5
732 305 1
952 731 9
192 642 1
965 995 2
659 221 4
82 481 5
323 422 7
270 850 1
736 481 10
488 379 8
702 956 3
720 901 9
139 629 7
235 951 1
242 688 7
929 61 9
518 451 7
295 626 9
99 301 1
565 19 3
445 641 9
788 541 9
582 549 1
584 985 6
913 685 6
289 904 1
556 41 3
675 242 9
240 341 2
36 107 7
464 930 5
994 388 9
498 348 1
601 441 3
970 505 7
718 617 6
373 105 1
800 186 7
20 97 7
173 525 3
665 785 6
735 65 7
226 126 7
460 85 1
480 967 1
592 634 2
909 277 2
680 101
